"year","team","number","player","sets_played","matches_played","points","points_per_set","kills","kills_per_set","attack_errors","attack_attempts","hitting_efficiency","assists","assists_per_set","service_aces","service_aces_per_set","serive_errors","service_errors_per_set","digs","digs_per_set","blocks","blocks_per_set"
2025,"Atlanta",15,"Jones, Aiko",72,24,134,1.86,89,1.24,37,246,21.1,1,0.01,13,0.18,25,98,1.36,32,0.44,1
2025,"Atlanta",17,"Rosenthal, Jenna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Atlanta",20,"Isringhausen, Madolyn",6,5,2,0.33,2,0.33,5,14,-21.4,0,0,0,0,1,2,0.33,0,0,0
2025,"Atlanta",21,"Monserez, Marlie",94,25,87,0.93,61,0.65,8,161,32.9,998,10.62,10,0.11,10,282,3,16,0.17,15
2025,"Atlanta",22,"Louis, Khori",110,28,299,2.72,236,2.15,47,526,35.9,3,0.03,5,0.04,42,78,0.71,58,0.53,1
2025,"Atlanta",91,"Tuaniga, Mia",53,23,21,0.4,14,0.26,4,37,27,289,5.45,3,0.06,18,87,1.64,4,0.07,4
2025,"Columbus",2,"Rapacz, Izabella",96,26,370,3.85,331,3.45,137,956,20.3,7,0.07,3,0.03,21,177,1.84,36,0.38,1
2025,"Columbus",5,"Rivera, Wilma",93,27,35,0.38,12,0.13,4,34,23.5,605,6.5,17,0.18,47,207,2.23,6,0.07,6
2025,"Columbus",7,"Georgiades, Kate",54,17,0,0,0,0,0,0,0,50,0.93,0,0,0,171,3.17,0,0,3
2025,"Columbus",8,"Cox, Kaylee",87,26,250,2.87,204,2.35,99,656,16,13,0.15,9,0.1,22,202,2.32,37,0.42,3
2025,"Columbus",10,"Gillen, Jill",38,19,59,1.55,49,1.29,24,166,15.1,3,0.08,5,0.13,14,53,1.4,5,0.13,0
2025,"Columbus",11,"Dumančić, Beta",13,6,18,1.38,13,1,2,30,36.7,0,0,2,0.15,1,9,0.69,3,0.23,0
2025,"Columbus",12,"Stringer, Tori",51,17,15,0.29,7,0.14,5,23,8.7,190,3.73,5,0.1,14,85,1.67,3,0.06,3
2025,"Columbus",13,"Kuszmaul, Ashley",9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Columbus",14,"Leao, Janice",43,19,78,1.81,38,0.88,11,105,25.7,0,0,5,0.12,11,17,0.4,35,0.81,0
2025,"Columbus",15,"Tomkom, Nootsara",42,11,6,0.14,2,0.05,3,12,-8.3,308,7.33,4,0.1,3,93,2.21,0,0,8
2025,"Columbus",16,"Terry, Raina",76,23,236,3.11,194,2.55,91,564,18.3,8,0.1,10,0.13,27,126,1.66,32,0.42,1
